longitude,latitude,station_name,climate_id,date_time,temperature_c,dew_point_temp_c,relative_humidity,wind_speed_kmh,visibility_km,station_pressure_kpa,weather
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T00:00:00.000000,-1.8,-3.9,86.0,4.0,8.0,101.24,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T01:00:00.000000,-1.8,-3.7,87.0,4.0,8.0,101.24,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T02:00:00.000000,-1.8,-3.4,89.0,7.0,4.0,101.26,"Freezing Drizzle,Fog"
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T03:00:00.000000,-1.5,-3.2,88.0,6.0,4.0,101.27,"Freezing Drizzle,Fog"
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T04:00:00.000000,-1.5,-3.3,88.0,7.0,4.8,101.23,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T05:00:00.000000,-1.4,-3.3,87.0,9.0,6.4,101.27,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T06:00:00.000000,-1.5,-3.1,89.0,7.0,6.4,101.29,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T07:00:00.000000,-1.4,-3.6,85.0,7.0,8.0,101.26,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T08:00:00.000000,-1.4,-3.6,85.0,9.0,8.0,101.23,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T09:00:00.000000,-1.3,-3.1,88.0,15.0,4.0,101.2,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T10:00:00.000000,-1.0,-2.3,91.0,9.0,1.2,101.15,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T11:00:00.000000,-0.5,-2.1,89.0,7.0,4.0,100.98,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T12:00:00.000000,-0.2,-2.0,88.0,9.0,4.8,100.79,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T13:00:00.000000,0.2,-1.7,87.0,13.0,4.8,100.58,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T14:00:00.000000,0.8,-1.1,87.0,20.0,4.8,100.31,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T15:00:00.000000,1.8,-0.4,85.0,22.0,6.4,100.07,Fog
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T16:00:00.000000,2.6,-0.2,82.0,13.0,12.9,99.93,Mostly Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T17:00:00.000000,3.0,0.0,81.0,13.0,16.1,99.81,Cloudy
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-01-01T18:00:00.000000,3.8,1.0,82.0,15.0,12.9,99.74,Rain
